name,id
"use=Primary, size=Large, State=Hover, width=Auto",25851:100478
"use=Primary, size=Large, State=Hover, width=Fill Container",60068:216787
"use=Secondary, size=Large, State=Disabled, width=Auto",25851:100560
"use=Secondary, size=Large, State=Disabled, width=Fill Container",60068:216792
"use=Primary, size=Large, State=Active, width=Auto",25851:100480
"use=Primary, size=Large, State=Active, width=Fill Container",60068:216797
"use=Primary, size=Large, State=Disabled, width=Auto",25851:100482
"use=Primary, size=Large, State=Disabled, width=Fill Container",60068:216807
"use=Primary, size=Small, State=Default, width=Auto",25851:100455
"use=Primary, size=Small, State=Default, width=Fill Container",60068:216812
"Pairings=Buttons, size=Large, orientation=Horizontal, width=Uniform & Fill, alignment=Left",26225:101200
"Pairings=Buttons, size=Large, orientation=Horizontal, width=Uniform & Fill, alignment=Right",48383:257834
"Pairings=Buttons, size=Large, orientation=Horizontal, width=Uniform & Fill, alignment=Center",48383:257665
"Pairings=Buttons, size=Large, orientation=Vertical, width=Auto, alignment=Center",26225:100566
"Pairings=Buttons, size=Large, orientation=Vertical, width=Uniform & Fill, alignment=Left",26225:101016
"Pairings=Buttons, size=Large, orientation=Vertical, width=Uniform & Fill, alignment=Right",48383:258341
"Pairings=Buttons, size=Large, orientation=Vertical, width=Uniform & Fill, alignment=Center",48383:258331
"Pairings=Buttons, size=Large, orientation=Horizontal, width=Auto, alignment=Left",26225:100607
"Pairings=Buttons, size=Large, orientation=Horizontal, width=Auto, alignment=Center",47721:259784
"Pairings=Button+Text Link, size=Large, orientation=Horizontal, width=Auto, alignment=Left",47706:259796
"Pairings=Button+Text Link Caret, size=Large, orientation=Horizontal, width=Auto, alignment=Left",47706:259852
"Pairings=Button+Text Link, size=Large, orientation=Horizontal, width=Auto, alignment=Center",47721:259801
"Pairings=Button+Text Link Caret, size=Large, orientation=Horizontal, width=Auto, alignment=Center",47721:259807
"Pairings=Text Link Carets, size=Large, orientation=Horizontal, width=Auto, alignment=Left",47706:259874
"Pairings=Text Links, size=Large, orientation=Horizontal, width=Auto, alignment=Left",47721:259753
"Pairings=Button+Text Link, size=Small, orientation=Horizontal, width=Auto, alignment=Center",47937:260001
"Pairings=Button+Text Link Caret, size=Small, orientation=Horizontal, width=Auto, alignment=Center",48064:260482
"Pairings=Text Link Carets, size=Small, orientation=Horizontal, width=Auto, alignment=Center",48068:259979
"Pairings=Text Links, size=Small, orientation=Horizontal, width=Auto, alignment=Center",47937:260016
"Pairings=Buttons, size=Large, orientation=Horizontal, width=Auto, alignment=Right",47721:259850
"Pairings=Button+Text Link, size=Large, orientation=Horizontal, width=Auto, alignment=Right",47721:259853
"Pairings=Button+Text Link, size=Large, orientation=Vertical, width=Auto, alignment=Center",47721:259966
"Pairings=Text Links, size=Large, orientation=Vertical, width=Auto, alignment=Center",47937:259858
"Pairings=Button+Text Link Caret, size=Large, orientation=Vertical, width=Auto, alignment=Center",47937:259800
"Pairings=Text Link Carets, size=Large, orientation=Vertical, width=Auto, alignment=Center",47937:259870
"Pairings=Buttons, size=Large, orientation=Vertical, width=Auto, alignment=Left",47937:259890
"Pairings=Button+Text Link, size=Large, orientation=Vertical, width=Auto, alignment=Left",47937:259893
"Pairings=Text Links, size=Large, orientation=Vertical, width=Auto, alignment=Left",47937:259899
"Pairings=Button+Text Link Caret, size=Large, orientation=Vertical, width=Auto, alignment=Left",47937:259902
"Pairings=Text Link Carets, size=Large, orientation=Vertical, width=Auto, alignment=Left",47937:259908
"Pairings=Buttons, size=Large, orientation=Vertical, width=Auto, alignment=Right",47937:259941
"Pairings=Button+Text Link, size=Large, orientation=Vertical, width=Auto, alignment=Right",47937:259944
"Pairings=Text Links, size=Large, orientation=Vertical, width=Auto, alignment=Right",47937:259950
"Pairings=Button+Text Link Caret, size=Large, orientation=Vertical, width=Auto, alignment=Right",47937:259953
"Pairings=Text Link Carets, size=Large, orientation=Vertical, width=Auto, alignment=Right",47937:259959
"Pairings=Button+Text Link, size=Large, orientation=Vertical, width=Uniform & Fill, alignment=Center",48383:258346
"Pairings=Text Links, size=Large, orientation=Vertical, width=Uniform & Fill, alignment=Center",48383:258352
"Pairings=Button+Text Link Caret, size=Large, orientation=Vertical, width=Uniform & Fill, alignment=Center",48383:258355
"Pairings=Text Link Carets, size=Large, orientation=Vertical, width=Uniform & Fill, alignment=Center",48383:258361
"Pairings=Button+Text Link, size=Large, orientation=Vertical, width=Uniform & Fill, alignment=Left",48383:258364
"Pairings=Text Links, size=Large, orientation=Vertical, width=Uniform & Fill, alignment=Left",48383:258370
"Pairings=Button+Text Link Caret, size=Large, orientation=Vertical, width=Uniform & Fill, alignment=Left",48383:258373
"Pairings=Text Link Carets, size=Large, orientation=Vertical, width=Uniform & Fill, alignment=Left",48383:258379
"Pairings=Button+Text Link, size=Large, orientation=Vertical, width=Uniform & Fill, alignment=Right",48383:258382
"Pairings=Text Links, size=Large, orientation=Vertical, width=Uniform & Fill, alignment=Right",48383:258388
"Pairings=Button+Text Link Caret, size=Large, orientation=Vertical, width=Uniform & Fill, alignment=Right",48383:258391
"Pairings=Text Link Carets, size=Large, orientation=Vertical, width=Uniform & Fill, alignment=Right",48383:258397
"Pairings=Button+Text Link Caret, size=Large, orientation=Horizontal, width=Auto, alignment=Right",47721:259859
"Pairings=Text Link Carets, size=Large, orientation=Horizontal, width=Auto, alignment=Right",47721:259865
"Pairings=Text Links, size=Large, orientation=Horizontal, width=Auto, alignment=Right",47721:259868
"Pairings=Text Link Carets, size=Large, orientation=Horizontal, width=Auto, alignment=Center",47721:259831
"Pairings=Text Links, size=Large, orientation=Horizontal, width=Auto, alignment=Center",47721:259834
"Pairings=Button+Text Link, size=Large, orientation=Horizontal, width=Uniform & Fill, alignment=Left",48383:258168
"Pairings=Button+Text Link Caret, size=Large, orientation=Horizontal, width=Uniform & Fill, alignment=Left",48383:258174
"Pairings=Button+Text Link, size=Large, orientation=Horizontal, width=Uniform & Fill, alignment=Center",48383:258180
"Pairings=Button+Text Link Caret, size=Large, orientation=Horizontal, width=Uniform & Fill, alignment=Center",48383:258186
"Pairings=Text Link Carets, size=Large, orientation=Horizontal, width=Uniform & Fill, alignment=Left",48383:258192
"Pairings=Text Links, size=Large, orientation=Horizontal, width=Uniform & Fill, alignment=Left",48383:258195
"Pairings=Button+Text Link, size=Large, orientation=Horizontal, width=Uniform & Fill, alignment=Right",48383:258198
"Pairings=Button+Text Link Caret, size=Large, orientation=Horizontal, width=Uniform & Fill, alignment=Right",48383:258205
"Pairings=Text Link Carets, size=Large, orientation=Horizontal, width=Uniform & Fill, alignment=Right",48383:258211
"Pairings=Text Links, size=Large, orientation=Horizontal, width=Uniform & Fill, alignment=Right",48383:258214
"Pairings=Text Link Carets, size=Large, orientation=Horizontal, width=Uniform & Fill, alignment=Center",48383:258218
"Pairings=Text Links, size=Large, orientation=Horizontal, width=Uniform & Fill, alignment=Center",48383:258221
"Pairings=Buttons, size=Small, orientation=Vertical, width=Auto, alignment=Center",26225:100547
"Pairings=Buttons, size=Small, orientation=Vertical, width=Uniform & Fill, alignment=Center",48493:260247
"Pairings=Buttons, size=Small, orientation=Vertical, width=Uniform & Fill, alignment=Left",26225:100895
"Pairings=Buttons, size=Small, orientation=Horizontal, width=Uniform & Fill, alignment=Left",26225:100926
"Pairings=Buttons, size=Small, orientation=Horizontal, width=Uniform & Fill, alignment=Right",48383:258533
"Pairings=Buttons, size=Small, orientation=Horizontal, width=Uniform & Fill, alignment=Center",48383:258528
"Pairings=Buttons, size=Small, orientation=Horizontal, width=Auto, alignment=Center",26225:100608
"Pairings=Button+Text Link, size=Small, orientation=Horizontal, width=Auto, alignment=Left",48099:260637
"Pairings=Button+Text Link Caret, size=Small, orientation=Horizontal, width=Auto, alignment=Left",48099:260643
"Pairings=Text Link Carets, size=Small, orientation=Horizontal, width=Auto, alignment=Left",48099:260653
"Pairings=Text Links, size=Small, orientation=Horizontal, width=Auto, alignment=Left",48099:260663
"Pairings=Buttons, size=Small, orientation=Horizontal, width=Auto, alignment=Left",48099:260666
"Pairings=Button+Text Link, size=Small, orientation=Horizontal, width=Auto, alignment=Right",48099:260708
"Pairings=Button+Text Link, size=Small, orientation=Vertical, width=Auto, alignment=Center",48099:260781
"Pairings=Button+Text Link Caret, size=Small, orientation=Horizontal, width=Auto, alignment=Right",48099:260714
"Pairings=Text Link Carets, size=Small, orientation=Horizontal, width=Auto, alignment=Right",48099:260724
"Pairings=Button+Text Link Caret, size=Small, orientation=Vertical, width=Auto, alignment=Center",48099:260794
"Pairings=Text Link Carets, size=Small, orientation=Vertical, width=Auto, alignment=Center",48099:260804
"Pairings=Text Links, size=Small, orientation=Horizontal, width=Auto, alignment=Right",48099:260734
"Pairings=Text Links, size=Small, orientation=Vertical, width=Auto, alignment=Center",48099:260836
"Pairings=Buttons, size=Small, orientation=Vertical, width=Auto, alignment=Left",48099:260845
"Pairings=Button+Text Link, size=Small, orientation=Vertical, width=Auto, alignment=Left",48099:260850
"Pairings=Button+Text Link Caret, size=Small, orientation=Vertical, width=Auto, alignment=Left",48099:260857
"Pairings=Text Link Carets, size=Small, orientation=Vertical, width=Auto, alignment=Left",48099:260867
"Pairings=Text Links, size=Small, orientation=Vertical, width=Auto, alignment=Left",48099:260877
"Pairings=Buttons, size=Small, orientation=Vertical, width=Auto, alignment=Right",48099:260917
"Pairings=Buttons, size=Small, orientation=Vertical, width=Uniform & Fill, alignment=Right",48493:260186
"Pairings=Button+Text Link, size=Small, orientation=Vertical, width=Auto, alignment=Right",48099:260922
"Pairings=Button+Text Link Caret, size=Small, orientation=Vertical, width=Auto, alignment=Right",48099:260929
"Pairings=Text Link Carets, size=Small, orientation=Vertical, width=Auto, alignment=Right",48099:260939
"Pairings=Text Links, size=Small, orientation=Vertical, width=Auto, alignment=Right",48099:260949
"Pairings=Button+Text Link, size=Small, orientation=Horizontal, width=Uniform & Fill, alignment=Center",48493:259865
"Pairings=Button+Text Link Caret, size=Small, orientation=Horizontal, width=Uniform & Fill, alignment=Center",48493:259871
"Pairings=Text Link Carets, size=Small, orientation=Horizontal, width=Uniform & Fill, alignment=Center",48493:259881
"Pairings=Text Links, size=Small, orientation=Horizontal, width=Uniform & Fill, alignment=Center",48493:259891
"Pairings=Button+Text Link, size=Small, orientation=Horizontal, width=Uniform & Fill, alignment=Left",48493:259894
"Pairings=Button+Text Link Caret, size=Small, orientation=Horizontal, width=Uniform & Fill, alignment=Left",48493:259900
"Pairings=Text Link Carets, size=Small, orientation=Horizontal, width=Uniform & Fill, alignment=Left",48493:259910
"Pairings=Text Links, size=Small, orientation=Horizontal, width=Uniform & Fill, alignment=Left",48493:259920
"Pairings=Button+Text Link, size=Small, orientation=Horizontal, width=Uniform & Fill, alignment=Right",48493:259923
"Pairings=Button+Text Link, size=Small, orientation=Vertical, width=Uniform & Fill, alignment=Center",48493:259929
"Pairings=Button+Text Link Caret, size=Small, orientation=Horizontal, width=Uniform & Fill, alignment=Right",48493:259936
"Pairings=Text Link Carets, size=Small, orientation=Horizontal, width=Uniform & Fill, alignment=Right",48493:259946
"Pairings=Button+Text Link Caret, size=Small, orientation=Vertical, width=Uniform & Fill, alignment=Center",48493:259956
"Pairings=Text Link Carets, size=Small, orientation=Vertical, width=Uniform & Fill, alignment=Center",48493:259966
"Pairings=Text Links, size=Small, orientation=Horizontal, width=Uniform & Fill, alignment=Right",48493:259976
"Pairings=Text Links, size=Small, orientation=Vertical, width=Uniform & Fill, alignment=Center",48493:259979
"Pairings=Button+Text Link, size=Small, orientation=Vertical, width=Uniform & Fill, alignment=Left",48493:259982
"Pairings=Button+Text Link Caret, size=Small, orientation=Vertical, width=Uniform & Fill, alignment=Left",48493:259989
"Pairings=Text Link Carets, size=Small, orientation=Vertical, width=Uniform & Fill, alignment=Left",48493:259999
"Pairings=Text Links, size=Small, orientation=Vertical, width=Uniform & Fill, alignment=Left",48493:260009
"Pairings=Button+Text Link, size=Small, orientation=Vertical, width=Uniform & Fill, alignment=Right",48493:260012
"Pairings=Button+Text Link Caret, size=Small, orientation=Vertical, width=Uniform & Fill, alignment=Right",48493:260019
"Pairings=Text Link Carets, size=Small, orientation=Vertical, width=Uniform & Fill, alignment=Right",48493:260029
"Pairings=Text Links, size=Small, orientation=Vertical, width=Uniform & Fill, alignment=Right",48493:260039
"Pairings=Buttons, size=Small, orientation=Horizontal, width=Auto, alignment=Right",48099:260737
"surfaceType=Color Fill, kind=Ghost, size=Large, state=Default, floating=False, fitToIcon=False",80695:104885
"surfaceType=Color Fill, kind=Ghost, size=Large, state=Default, floating=False, fitToIcon=True",83538:100514
"surfaceType=Color Fill, kind=Low Contrast, size=Large, state=Default, floating=False, fitToIcon=False",80812:105538
"surfaceType=Color Fill, kind=Low Contrast, size=Large, state=Default, floating=False, fitToIcon=True",83535:96584
"surfaceType=Color Fill, kind=High Contrast, size=Large, state=Default, floating=False, fitToIcon=True",83535:97977
"surfaceType=Color Fill, kind=Low Contrast, size=Small, state=Default, floating=False, fitToIcon=True",83535:97397
"surfaceType=Color Fill, kind=High Contrast, size=Small, state=Default, floating=False, fitToIcon=True",83535:97979
"surfaceType=Media, kind=Low Contrast, size=Large, state=Default, floating=False, fitToIcon=True",83535:96962
"surfaceType=Media, kind=High Contrast, size=Large, state=Default, floating=False, fitToIcon=True",83535:97981
"surfaceType=Media, kind=Low Contrast, size=Small, state=Default, floating=False, fitToIcon=True",83535:97399
"surfaceType=Media, kind=High Contrast, size=Small, state=Default, floating=False, fitToIcon=True",83535:97983
"surfaceType=Color Fill, kind=Low Contrast, size=Large, state=Default, floating=True, fitToIcon=True",83535:97062
"surfaceType=Color Fill, kind=High Contrast, size=Large, state=Default, floating=True, fitToIcon=True",83535:97985
"surfaceType=Color Fill, kind=Low Contrast, size=Small, state=Default, floating=True, fitToIcon=True",83535:97401
"surfaceType=Color Fill, kind=High Contrast, size=Small, state=Default, floating=True, fitToIcon=True",83535:97987
"surfaceType=Media, kind=Low Contrast, size=Large, state=Default, floating=True, fitToIcon=True",83535:97162
"surfaceType=Media, kind=High Contrast, size=Large, state=Default, floating=True, fitToIcon=True",83535:97989
"surfaceType=Media, kind=Low Contrast, size=Small, state=Default, floating=True, fitToIcon=True",83535:97403
"surfaceType=Media, kind=High Contrast, size=Small, state=Default, floating=True, fitToIcon=True",83535:97991
"surfaceType=Color Fill, kind=High Contrast, size=Large, state=Default, floating=False, fitToIcon=False",80839:105809
"surfaceType=Color Fill, kind=High Contrast, size=Small, state=Default, floating=False, fitToIcon=False",80839:107184
"surfaceType=Color Fill, kind=High Contrast, size=Large, state=Default, floating=True, fitToIcon=False",80839:106268
"surfaceType=Color Fill, kind=High Contrast, size=Small, state=Default, floating=True, fitToIcon=False",80839:107193
"surfaceType=Media, kind=High Contrast, size=Large, state=Default, floating=True, fitToIcon=False",80839:106679
"surfaceType=Media, kind=High Contrast, size=Small, state=Default, floating=True, fitToIcon=False",80839:107205
"surfaceType=Color Fill, kind=High Contrast, size=Large, state=Disabled, floating=True, fitToIcon=False",80839:106314
"surfaceType=Color Fill, kind=High Contrast, size=Small, state=Disabled, floating=True, fitToIcon=False",80839:107209
"surfaceType=Media, kind=High Contrast, size=Large, state=Disabled, floating=True, fitToIcon=False",80839:106683
"surfaceType=Media, kind=High Contrast, size=Small, state=Disabled, floating=True, fitToIcon=False",80839:107221
"surfaceType=Color Fill, kind=High Contrast, size=Large, state=Active, floating=True, fitToIcon=False",80839:106302
"surfaceType=Color Fill, kind=High Contrast, size=Small, state=Active, floating=True, fitToIcon=False",80839:107225
"surfaceType=Media, kind=High Contrast, size=Large, state=Active, floating=True, fitToIcon=False",80839:106687
"surfaceType=Media, kind=High Contrast, size=Small, state=Active, floating=True, fitToIcon=False",80839:107237
"surfaceType=Media, kind=High Contrast, size=Large, state=Default, floating=False, fitToIcon=False",80839:106099
"surfaceType=Media, kind=High Contrast, size=Small, state=Default, floating=False, fitToIcon=False",80839:107241
"surfaceType=Color Fill, kind=Low Contrast, size=Small, state=Default, floating=False, fitToIcon=False",80825:106160
"surfaceType=Color Fill, kind=Low Contrast, size=Large, state=Default, floating=True, fitToIcon=False",80812:105959
"surfaceType=Color Fill, kind=Low Contrast, size=Small, state=Default, floating=True, fitToIcon=False",80825:106166
"surfaceType=Media, kind=Low Contrast, size=Large, state=Default, floating=True, fitToIcon=False",80822:105608
"surfaceType=Media, kind=Low Contrast, size=Small, state=Default, floating=True, fitToIcon=False",80825:106174
"surfaceType=Media, kind=Low Contrast, size=Large, state=Default, floating=False, fitToIcon=False",80816:105246
"surfaceType=Media, kind=Low Contrast, size=Small, state=Default, floating=False, fitToIcon=False",80825:106182
"surfaceType=Color Fill, kind=Low Contrast, size=Large, state=Disabled, floating=True, fitToIcon=False",80816:105207
"surfaceType=Color Fill, kind=Low Contrast, size=Small, state=Disabled, floating=True, fitToIcon=False",80825:106190
"surfaceType=Media, kind=Low Contrast, size=Large, state=Disabled, floating=True, fitToIcon=False",80822:105612
"surfaceType=Media, kind=Low Contrast, size=Small, state=Disabled, floating=True, fitToIcon=False",80825:106198
"surfaceType=Media, kind=Low Contrast, size=Large, state=Disabled, floating=False, fitToIcon=False",80816:105250
"surfaceType=Media, kind=Low Contrast, size=Small, state=Disabled, floating=False, fitToIcon=False",80825:106206
"surfaceType=Color Fill, kind=Low Contrast, size=Large, state=Active, floating=True, fitToIcon=False",80816:105181
"surfaceType=Color Fill, kind=Low Contrast, size=Small, state=Active, floating=True, fitToIcon=False",80825:106214
"surfaceType=Media, kind=Low Contrast, size=Large, state=Active, floating=True, fitToIcon=False",80822:105616
"surfaceType=Media, kind=Low Contrast, size=Small, state=Active, floating=True, fitToIcon=False",80825:106222
"surfaceType=Media, kind=Low Contrast, size=Large, state=Active, floating=False, fitToIcon=False",80816:105254
"surfaceType=Media, kind=Low Contrast, size=Small, state=Active, floating=False, fitToIcon=False",80825:106230
"surfaceType=Color Fill, kind=Ghost, size=Small, state=Default, floating=False, fitToIcon=False",80739:105054
"surfaceType=Color Fill, kind=Ghost, size=Small, state=Default, floating=False, fitToIcon=True",83538:100517
"surfaceType=Color Fill, kind=Ghost, size=Large, state=Default, floating=True, fitToIcon=False",80700:104986
"surfaceType=Color Fill, kind=Ghost, size=Large, state=Default, floating=True, fitToIcon=True",83538:100520
"surfaceType=Media, kind=Ghost, size=Large, state=Default, floating=True, fitToIcon=False",80822:105266
"surfaceType=Media, kind=Ghost, size=Large, state=Default, floating=True, fitToIcon=True",83538:100522
"surfaceType=Color Fill, kind=Ghost, size=Small, state=Default, floating=True, fitToIcon=False",80739:105057
"surfaceType=Color Fill, kind=Ghost, size=Small, state=Default, floating=True, fitToIcon=True",83538:100524
"surfaceType=Media, kind=Ghost, size=Small, state=Default, floating=True, fitToIcon=False",80822:105268
"surfaceType=Media, kind=Ghost, size=Small, state=Default, floating=True, fitToIcon=True",83538:100526
"surfaceType=Color Fill, kind=Ghost, size=Large, state=Hover, floating=True, fitToIcon=False",80700:105064
"surfaceType=Color Fill, kind=Ghost, size=Large, state=Hover, floating=True, fitToIcon=True",83538:100528
"surfaceType=Media, kind=Ghost, size=Large, state=Hover, floating=True, fitToIcon=False",80822:105270
"surfaceType=Media, kind=Ghost, size=Large, state=Hover, floating=True, fitToIcon=True",83538:100530
"surfaceType=Color Fill, kind=Ghost, size=Small, state=Hover, floating=True, fitToIcon=False",80739:105059
"surfaceType=Color Fill, kind=Ghost, size=Small, state=Hover, floating=True, fitToIcon=True",83538:100536
"surfaceType=Media, kind=Ghost, size=Small, state=Hover, floating=True, fitToIcon=False",80822:105274
"surfaceType=Media, kind=Ghost, size=Small, state=Hover, floating=True, fitToIcon=True",83538:100538
"surfaceType=Color Fill, kind=Ghost, size=Large, state=Active, floating=True, fitToIcon=False",80700:105084
